[2024-07-17T10:27:20.193Z] - POST http://localhost:8000/api/auth/logout || STATUS CODE: 200 || RESPONSE TIME: 2ms
[2024-07-17T10:29:33.095Z] - GET http://localhost:8000/apia || STATUS CODE: 404 || RESPONSE TIME: 2ms
[2024-07-17T10:30:06.674Z] - POST http://localhost:8000/api || STATUS CODE: 404 || RESPONSE TIME: 0ms
[2024-07-17T10:30:09.097Z] - GET http://localhost:8000/api || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T10:30:29.658Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 400 || RESPONSE TIME: 1ms
[2024-07-17T10:31:17.363Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 400 || RESPONSE TIME: 6ms
[2024-07-17T10:31:24.571Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 400 || RESPONSE TIME: 7ms
[2024-07-17T10:31:39.890Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 400 || RESPONSE TIME: 6ms
[2024-07-17T10:32:18.054Z] - POST http://localhost:8000/api/auth/register || STATUS CODE: 400 || RESPONSE TIME: 6ms
[2024-07-17T10:32:32.882Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 3ms
[2024-07-17T10:33:07.258Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 400 || RESPONSE TIME: 6ms
[2024-07-17T10:33:38.167Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 6ms
[2024-07-17T10:34:34.269Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 8ms
[2024-07-17T10:34:55.676Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 8ms
[2024-07-17T10:35:15.590Z] - DELETE http://localhost:8000/api/ || STATUS CODE: 404 || RESPONSE TIME: 6ms
[2024-07-17T10:35:21.890Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 4ms
[2024-07-17T10:35:27.424Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 7ms
[2024-07-17T10:35:38.918Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 7ms
[2024-07-17T10:36:00.069Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 6ms
[2024-07-17T10:36:01.642Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 2ms
[2024-07-17T10:36:36.194Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 2ms
[2024-07-17T10:36:52.348Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 2ms
[2024-07-17T10:38:58.995Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 8ms
[2024-07-17T10:39:21.526Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 10ms
[2024-07-17T10:40:15.326Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 400 || RESPONSE TIME: 9ms
[2024-07-17T10:40:25.238Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 400 || RESPONSE TIME: 7ms
[2024-07-17T10:40:31.941Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 8ms
[2024-07-17T10:40:40.362Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 8ms
[2024-07-17T10:41:14.249Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 2ms
[2024-07-17T10:43:15.494Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 8ms
[2024-07-17T10:43:28.131Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 3ms
[2024-07-17T10:43:28.782Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 2ms
[2024-07-17T10:43:44.395Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 8ms
[2024-07-17T10:43:54.746Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 3ms
[2024-07-17T10:44:25.328Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 9ms
[2024-07-17T10:44:43.214Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 10ms
[2024-07-17T10:44:50.852Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 7ms
[2024-07-17T10:45:01.696Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 8ms
[2024-07-17T10:45:13.918Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 8ms
[2024-07-17T10:45:18.438Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 8ms
[2024-07-17T10:45:31.378Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 3ms
[2024-07-17T10:45:35.474Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 8ms
[2024-07-17T10:46:19.257Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 404 || RESPONSE TIME: 3ms
[2024-07-17T10:47:49.604Z] - DELETE http://localhost:8000/api/users/1 || STATUS CODE: 200 || RESPONSE TIME: 7ms
